"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","2557"
">","THREAD_COUNT:","2"
">","EXTENTS_LEFT:","0.000000"
">","EXTENTS_TOP:","-62.299999"
">","EXTENTS_RIGHT:","59.099999"
">","EXTENTS_BOTTOM:","44.899999"
">","EXTENTS_WIDTH:","59.099999"
">","EXTENTS_HEIGHT:","107.199998"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","255","0","0","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"
"$","2","255","255","255","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","JUMP","0.0000","-0.0000"
"*","JUMP","29.6000","-46.2000"
"*","STITCH","29.6000","-46.2000"
"*","STITCH","29.4000","-46.0000"
"*","STITCH","29.6000","-46.2000"
"*","STITCH","28.1000","-45.0000"
"*","STITCH","26.6000","-43.8000"
"*","STITCH","25.2000","-42.7000"
"*","STITCH","23.7000","-41.5000"
"*","STITCH","22.2000","-40.3000"
"*","STITCH","20.7000","-39.1000"
"*","STITCH","19.2000","-37.9000"
"*","STITCH","17.7000","-36.7000"
"*","STITCH","16.3000","-35.6000"
"*","STITCH","14.8000","-34.4000"
"*","STITCH","13.3000","-33.2000"
"*","STITCH","11.8000","-32.0000"
"*","STITCH","10.3000","-30.8000"
"*","STITCH","8.8000","-29.6000"
"*","STITCH","7.4000","-28.5000"
"*","STITCH","5.9000","-27.3000"
"*","STITCH","4.4000","-26.1000"
"*","STITCH","2.9000","-24.9000"
"*","STITCH","3.2000","-24.9000"
"*","STITCH","3.1000","-25.0000"
"*","STITCH","3.8000","-24.9000"
"*","STITCH","3.4000","-25.3000"
"*","STITCH","4.5000","-24.9000"
"*","STITCH","3.8000","-25.6000"
"*","STITCH","5.1000","-24.9000"
"*","STITCH","4.1000","-25.9000"
"*","STITCH","5.7000","-24.9000"
"*","STITCH","4.5000","-26.2000"
"*","STITCH","5.6000","-25.3000"
"*","STITCH","6.4000","-24.9000"
"*","STITCH","4.8000","-26.4000"
"*","STITCH","7.0000","-24.9000"
"*","STITCH","5.8000","-26.1000"
"*","STITCH","5.2000","-26.7000"
"*","STITCH","6.8000","-25.4000"
"*","STITCH","7.6000","-24.9000"
"*","STITCH","5.5000","-27.0000"
"*","STITCH","6.0000","-26.8000"
"*","STITCH","8.2000","-24.9000"
"*","STITCH","7.0000","-26.1000"
"*","STITCH","5.9000","-27.3000"
"*","STITCH","8.0000","-25.4000"
"*","STITCH","8.9000","-24.9000"
"*","STITCH","6.2000","-27.6000"
"*","STITCH","7.2000","-26.9000"
"*","STITCH","9.5000","-24.9000"
"*","STITCH","8.2000","-26.2000"
"*","STITCH","6.6000","-27.8000"
"*","STITCH","9.2000","-25.5000"
"*","STITCH","10.1000","-24.9000"
"*","STITCH","7.4000","-27.6000"
"*","STITCH","6.9000","-28.1000"
"*","STITCH","8.4000","-26.9000"
"*","STITCH","10.8000","-24.9000"
"*","STITCH","9.4000","-26.3000"
"*","STITCH","7.3000","-28.4000"
"*","STITCH","10.4000","-25.6000"
"*","STITCH","11.4000","-24.9000"
"*","STITCH","8.6000","-27.7000"
"*","STITCH","7.6000","-28.7000"
"*","STITCH","9.6000","-27.0000"
"*","STITCH","12.0000","-24.9000"
"*","STITCH","10.6000","-26.3000"
"*","STITCH","8.0000","-28.9000"
"*","STITCH","8.8000","-28.5000"
"*","STITCH","11.6000","-25.6000"
"*","STITCH","12.7000","-24.9000"
"*","STITCH","9.8000","-27.8000"
"*","STITCH","8.3000","-29.2000"
"*","STITCH","10.8000","-27.1000"
"*","STITCH","13.3000","-24.9000"
"*","STITCH","11.8000","-26.4000"
"*","STITCH","9.0000","-29.2000"
"*","STITCH","8.7000","-29.5000"
"*","STITCH","10.0000","-28.5000"
"*","STITCH","12.8000","-25.7000"
"*","STITCH","13.9000","-24.9000"
"*","STITCH","11.0000","-27.8000"
"*","STITCH","9.0000","-29.8000"
"*","STITCH","12.0000","-27.1000"
"*","STITCH","14.5000","-24.9000"
"*","STITCH","13.0000","-26.4000"
"*","STITCH","10.2000","-29.3000"
"*","STITCH","9.4000","-30.1000"
"*","STITCH","11.2000","-28.6000"
"*","STITCH","14.0000","-25.8000"
"*","STITCH","15.2000","-24.9000"
"*","STITCH","15.0000","-25.1000"
"*","STITCH","12.2000","-27.9000"
"*","STITCH","9.7000","-30.3000"
"*","STITCH","10.4000","-30.0000"
"*","STITCH","13.2000","-27.2000"
"*","STITCH","15.8000","-24.9000"
"*","STITCH","14.2000","-26.5000"
"*","STITCH","11.4000","-29.3000"
"*","STITCH","10.1000","-30.6000"
"*","STITCH","12.4000","-28.6000"
"*","STITCH","15.2000","-25.8000"
"*","STITCH","16.4000","-24.9000"
"*","STITCH","16.2000","-25.1000"
"*","STITCH","13.4000","-28.0000"
"*","STITCH","10.4000","-30.9000"
"*","STITCH","11.5000","-30.1000"
"*","STITCH","14.4000","-27.3000"
"*","STITCH","17.1000","-24.9000"
"*","STITCH","15.4000","-26.6000"
"*","STITCH","12.6000","-29.4000"
"*","STITCH","10.8000","-31.2000"
"*","STITCH","13.6000","-28.7000"
"*","STITCH","16.4000","-25.9000"
"*","STITCH","17.7000","-24.9000"
"*","STITCH","17.4000","-25.2000"
"*","STITCH","14.6000","-28.0000"
"*","STITCH","11.7000","-30.8000"
"*","STITCH","11.1000","-31.5000"
"*","STITCH","12.7000","-30.2000"
"*","STITCH","15.6000","-27.3000"
"*","STITCH","18.3000","-24.9000"
"*","STITCH","16.6000","-26.6000"
"*","STITCH","13.8000","-29.5000"
"*","STITCH","11.5000","-31.7000"
"*","STITCH","11.9000","-31.6000"
"*","STITCH","14.8000","-28.8000"
"*","STITCH","17.6000","-25.9000"
"*","STITCH","18.9000","-24.9000"
"*","STITCH","18.6000","-25.3000"
"*","STITCH","15.8000","-28.1000"
"*","STITCH","12.9000","-30.9000"
"*","STITCH","11.8000","-32.0000"
"*","STITCH","13.9000","-30.2000"
"*","STITCH","16.8000","-27.4000"
"*","STITCH","19.6000","-24.9000"
"*","STITCH","17.8000","-26.7000"
"*","STITCH","14.9000","-29.5000"
"*","STITCH","12.2000","-32.3000"
"*","STITCH","13.1000","-31.7000"
"*","STITCH","16.0000","-28.8000"
"*","STITCH","18.8000","-26.0000"
"*","STITCH","20.2000","-24.9000"
"*","STITCH","19.8000","-25.3000"
"*","STITCH","17.0000","-28.1000"
"*","STITCH","14.1000","-31.0000"
"*","STITCH","12.5000","-32.6000"
"*","STITCH","15.1000","-30.3000"
"*","STITCH","18.0000","-27.5000"
"*","STITCH","20.8000","-24.9000"
"*","STITCH","19.0000","-26.8000"
"*","STITCH","16.1000","-29.6000"
"*","STITCH","13.3000","-32.4000"
"*","STITCH","12.9000","-32.8000"
"*","STITCH","14.3000","-31.7000"
"*","STITCH","17.1000","-28.9000"
"*","STITCH","20.0000","-26.1000"
"*","STITCH","21.5000","-24.9000"
"*","STITCH","21.0000","-25.4000"
"*","STITCH","18.2000","-28.2000"
"*","STITCH","15.3000","-31.0000"
"*","STITCH","13.2000","-33.1000"
"*","STITCH","16.3000","-30.3000"
"*","STITCH","19.2000","-27.5000"
"*","STITCH","22.1000","-24.9000"
"*","STITCH","20.2000","-26.8000"
"*","STITCH","17.3000","-29.7000"
"*","STITCH","14.5000","-32.5000"
"*","STITCH","13.6000","-33.4000"
"*","STITCH","15.5000","-31.8000"
"*","STITCH","18.3000","-29.0000"
"*","STITCH","21.2000","-26.1000"
"*","STITCH","22.7000","-24.9000"
"*","STITCH","22.2000","-25.4000"
"*","STITCH","19.3000","-28.3000"
"*","STITCH","16.5000","-31.1000"
"*","STITCH","13.9000","-33.7000"
"*","STITCH","14.1000","-33.8000"
"*","STITCH","14.7000","-33.2000"
"*","STITCH","17.5000","-30.4000"
"*","STITCH","20.4000","-27.6000"
"*","STITCH","23.0000","-24.9000"
"*","STITCH","23.2000","-24.9000"
"*","STITCH","23.7000","-23.1000"
"*","STITCH","24.3000","-21.3000"
"*","STITCH","24.8000","-19.6000"
"*","STITCH","25.3000","-17.8000"
"*","STITCH","25.9000","-16.0000"
"*","STITCH","26.4000","-14.2000"
"*","STITCH","26.9000","-12.4000"
"*","STITCH","27.5000","-10.6000"
"*","STITCH","28.0000","-8.9000"
"*","STITCH","28.5000","-7.1000"
"*","STITCH","29.1000","-5.3000"
"*","STITCH","29.6000","-3.5000"
"*","STITCH","29.6000","-3.6000"
"*","STITCH","29.7000","-3.8000"
"*","STITCH","29.4000","-4.0000"
"*","STITCH","29.8000","-4.3000"
"*","STITCH","29.2000","-4.9000"
"*","STITCH","30.0000","-4.7000"
"*","STITCH","28.9000","-5.8000"
"*","STITCH","30.1000","-5.2000"
"*","STITCH","28.6000","-6.7000"
"*","STITCH","29.2000","-6.5000"
"*","STITCH","30.3000","-5.7000"
"*","STITCH","28.4000","-7.6000"
"*","STITCH","30.4000","-6.2000"
"*","STITCH","29.4000","-7.2000"
"*","STITCH","28.1000","-8.5000"
"*","STITCH","30.6000","-6.7000"
"*","STITCH","28.6000","-8.7000"
"*","STITCH","27.8000","-9.4000"
"*","STITCH","29.6000","-8.0000"
"*","STITCH","30.7000","-7.2000"
"*","STITCH","27.6000","-10.3000"
"*","STITCH","28.8000","-9.4000"
"*","STITCH","30.9000","-7.6000"
"*","STITCH","29.8000","-8.7000"
"*","STITCH","27.3000","-11.2000"
"*","STITCH","28.0000","-10.9000"
"*","STITCH","31.0000","-8.1000"
"*","STITCH","29.0000","-10.2000"
"*","STITCH","27.0000","-12.1000"
"*","STITCH","27.1000","-12.3000"
"*","STITCH","30.0000","-9.5000"
"*","STITCH","31.1000","-8.6000"
"*","STITCH","30.9000","-8.8000"
"*","STITCH","28.1000","-11.6000"
"*","STITCH","26.8000","-13.0000"
"*","STITCH","29.1000","-10.9000"
"*","STITCH","31.3000","-9.1000"
"*","STITCH","30.2000","-10.2000"
"*","STITCH","27.3000","-13.1000"
"*","STITCH","26.5000","-13.9000"
"*","STITCH","28.3000","-12.4000"
"*","STITCH","31.4000","-9.6000"
"*","STITCH","29.3000","-11.7000"
"*","STITCH","26.5000","-14.5000"
"*","STITCH","26.2000","-14.8000"
"*","STITCH","27.5000","-13.8000"
"*","STITCH","30.3000","-11.0000"
"*","STITCH","31.6000","-10.1000"
"*","STITCH","31.3000","-10.3000"
"*","STITCH","28.5000","-13.1000"
"*","STITCH","26.0000","-15.7000"
"*","STITCH","26.7000","-15.3000"
"*","STITCH","29.5000","-12.4000"
"*","STITCH","31.7000","-10.5000"
"*","STITCH","30.5000","-11.7000"
"*","STITCH","27.7000","-14.6000"
"*","STITCH","25.7000","-16.6000"
"*","STITCH","25.9000","-16.7000"
"*","STITCH","28.7000","-13.9000"
"*","STITCH","31.5000","-11.0000"
"*","STITCH","31.9000","-11.0000"
"*","STITCH","29.7000","-13.2000"
"*","STITCH","26.9000","-16.0000"
"*","STITCH","25.4000","-17.5000"
"*","STITCH","27.9000","-15.3000"
"*","STITCH","30.7000","-12.5000"
"*","STITCH","32.0000","-11.5000"
"*","STITCH","31.7000","-11.8000"
"*","STITCH","28.9000","-14.6000"
"*","STITCH","26.1000","-17.5000"
"*","STITCH","25.2000","-18.4000"
"*","STITCH","27.1000","-16.8000"
"*","STITCH","29.9000","-13.9000"
"*","STITCH","32.2000","-12.0000"
"*","STITCH","30.9000","-13.2000"
"*","STITCH","28.1000","-16.1000"
"*","STITCH","25.3000","-18.9000"
"*","STITCH","24.9000","-19.3000"
"*","STITCH","26.3000","-18.2000"
"*","STITCH","29.1000","-15.4000"
"*","STITCH","31.9000","-12.6000"
"*","STITCH","32.3000","-12.5000"
"*","STITCH","30.1000","-14.7000"
"*","STITCH","27.3000","-17.5000"
"*","STITCH","24.6000","-20.2000"
"*","STITCH","25.4000","-19.7000"
"*","STITCH","28.3000","-16.8000"
"*","STITCH","31.1000","-14.0000"
"*","STITCH","32.5000","-13.0000"
"*","STITCH","32.1000","-13.3000"
"*","STITCH","29.3000","-16.1000"
"*","STITCH","26.4000","-19.0000"
"*","STITCH","24.3000","-21.1000"
"*","STITCH","24.6000","-21.1000"
"*","STITCH","27.5000","-18.3000"
"*","STITCH","30.3000","-15.4000"
"*","STITCH","32.6000","-13.4000"
"*","STITCH","31.3000","-14.8000"
"*","STITCH","28.5000","-17.6000"
"*","STITCH","25.6000","-20.4000"
"*","STITCH","24.1000","-22.0000"
"*","STITCH","26.6000","-19.7000"
"*","STITCH","29.5000","-16.9000"
"*","STITCH","32.3000","-14.1000"
"*","STITCH","32.7000","-13.9000"
"*","STITCH","30.5000","-16.2000"
"*","STITCH","27.6000","-19.0000"
"*","STITCH","24.8000","-21.9000"
"*","STITCH","23.8000","-22.9000"
"*","STITCH","25.8000","-21.2000"
"*","STITCH","28.6000","-18.3000"
"*","STITCH","31.5000","-15.5000"
"*","STITCH","32.9000","-14.4000"
"*","STITCH","32.5000","-14.8000"
"*","STITCH","29.7000","-17.6000"
"*","STITCH","26.8000","-20.5000"
"*","STITCH","24.0000","-23.3000"
"*","STITCH","23.5000","-23.8000"
"*","STITCH","25.0000","-22.6000"
"*","STITCH","27.8000","-19.8000"
"*","STITCH","30.7000","-17.0000"
"*","STITCH","33.0000","-14.9000"
"*","STITCH","31.7000","-16.3000"
"*","STITCH","28.8000","-19.1000"
"*","STITCH","26.0000","-21.9000"
"*","STITCH","23.3000","-24.7000"
"*","STITCH","23.2000","-24.9000"
"*","STITCH","21.9000","-26.2000"
"*","STITCH","20.6000","-27.5000"
"*","STITCH","19.3000","-28.8000"
"*","STITCH","18.1000","-30.0000"
"*","STITCH","16.8000","-31.3000"
"*","STITCH","15.5000","-32.6000"
"*","STITCH","14.2000","-33.9000"
"*","STITCH","14.3000","-34.0000"
"*","STITCH","15.7000","-32.5000"
"*","STITCH","18.5000","-29.7000"
"*","STITCH","21.4000","-26.9000"
"*","STITCH","24.2000","-24.1000"
"*","STITCH","27.0000","-21.2000"
"*","STITCH","29.8000","-18.4000"
"*","STITCH","32.7000","-15.6000"
"*","STITCH","33.1000","-15.1000"
"*","STITCH","30.8000","-17.7000"
"*","STITCH","28.0000","-20.5000"
"*","STITCH","25.2000","-23.4000"
"*","STITCH","22.4000","-26.2000"
"*","STITCH","19.5000","-29.0000"
"*","STITCH","16.7000","-31.9000"
"*","STITCH","14.6000","-34.2000"
"*","STITCH","14.9000","-34.0000"
"*","STITCH","17.7000","-31.2000"
"*","STITCH","20.5000","-28.3000"
"*","STITCH","23.4000","-25.5000"
"*","STITCH","26.2000","-22.7000"
"*","STITCH","29.0000","-19.9000"
"*","STITCH","31.9000","-17.0000"
"*","STITCH","33.2000","-15.6000"
"*","STITCH","32.9000","-16.3000"
"*","STITCH","30.0000","-19.2000"
"*","STITCH","27.2000","-22.0000"
"*","STITCH","24.4000","-24.8000"
"*","STITCH","21.5000","-27.6000"
"*","STITCH","18.7000","-30.5000"
"*","STITCH","15.9000","-33.3000"
"*","STITCH","15.0000","-34.5000"
"*","STITCH","16.9000","-32.6000"
"*","STITCH","19.7000","-29.8000"
"*","STITCH","22.6000","-27.0000"
"*","STITCH","25.4000","-24.1000"
"*","STITCH","28.2000","-21.3000"
"*","STITCH","31.0000","-18.5000"
"*","STITCH","33.4000","-16.1000"
"*","STITCH","32.0000","-17.8000"
"*","STITCH","29.2000","-20.6000"
"*","STITCH","26.4000","-23.4000"
"*","STITCH","23.6000","-26.3000"
"*","STITCH","20.7000","-29.1000"
"*","STITCH","17.9000","-31.9000"
"*","STITCH","15.3000","-34.8000"
"*","STITCH","16.1000","-34.1000"
"*","STITCH","18.9000","-31.2000"
"*","STITCH","21.7000","-28.4000"
"*","STITCH","24.6000","-25.6000"
"*","STITCH","27.4000","-22.7000"
"*","STITCH","30.2000","-19.9000"
"*","STITCH","33.1000","-17.1000"
"*","STITCH","33.5000","-16.6000"
"*","STITCH","31.2000","-19.2000"
"*","STITCH","28.4000","-22.1000"
"*","STITCH","25.6000","-24.9000"
"*","STITCH","22.7000","-27.7000"
"*","STITCH","19.9000","-30.5000"
"*","STITCH","17.1000","-33.4000"
"*","STITCH","15.7000","-35.1000"
"*","STITCH","18.1000","-32.7000"
"*","STITCH","20.9000","-29.8000"
"*","STITCH","23.7000","-27.0000"
"*","STITCH","26.6000","-24.2000"
"*","STITCH","29.4000","-21.4000"
"*","STITCH","32.2000","-18.5000"
"*","STITCH","33.7000","-17.1000"
"*","STITCH","33.2000","-17.8000"
"*","STITCH","30.4000","-20.7000"
"*","STITCH","27.6000","-23.5000"
"*","STITCH","24.8000","-26.3000"
"*","STITCH","21.9000","-29.2000"
"*","STITCH","19.1000","-32.0000"
"*","STITCH","16.3000","-34.8000"
"*","STITCH","16.0000","-35.4000"
"*","STITCH","17.3000","-34.1000"
"*","STITCH","20.1000","-31.3000"
"*","STITCH","22.9000","-28.5000"
"*","STITCH","25.8000","-25.6000"
"*","STITCH","28.6000","-22.8000"
"*","STITCH","31.4000","-20.0000"
"*","STITCH","33.8000","-17.6000"
"*","STITCH","32.4000","-19.3000"
"*","STITCH","29.6000","-22.1000"
"*","STITCH","26.8000","-24.9000"
"*","STITCH","23.9000","-27.8000"
"*","STITCH","21.1000","-30.6000"
"*","STITCH","18.3000","-33.4000"
"*","STITCH","16.4000","-35.6000"
"*","STITCH","19.3000","-32.7000"
"*","STITCH","22.1000","-29.9000"
"*","STITCH","24.9000","-27.1000"
"*","STITCH","27.8000","-24.3000"
"*","STITCH","30.6000","-21.4000"
"*","STITCH","33.4000","-18.6000"
"*","STITCH","33.9000","-18.1000"
"*","STITCH","31.6000","-20.7000"
"*","STITCH","28.8000","-23.6000"
"*","STITCH","25.9000","-26.4000"
"*","STITCH","23.1000","-29.2000"
"*","STITCH","20.3000","-32.0000"
"*","STITCH","17.5000","-34.9000"
"*","STITCH","16.7000","-35.9000"
"*","STITCH","18.5000","-34.2000"
"*","STITCH","21.3000","-31.4000"
"*","STITCH","24.1000","-28.5000"
"*","STITCH","27.0000","-25.7000"
"*","STITCH","29.8000","-22.9000"
"*","STITCH","32.6000","-20.0000"
"*","STITCH","34.1000","-18.6000"
"*","STITCH","33.6000","-19.3000"
"*","STITCH","30.8000","-22.2000"
"*","STITCH","28.0000","-25.0000"
"*","STITCH","25.1000","-27.8000"
"*","STITCH","22.3000","-30.7000"
"*","STITCH","19.5000","-33.5000"
"*","STITCH","17.1000","-36.2000"
"*","STITCH","17.7000","-35.6000"
"*","STITCH","20.5000","-32.8000"
"*","STITCH","23.3000","-30.0000"
"*","STITCH","26.1000","-27.1000"
"*","STITCH","29.0000","-24.3000"
"*","STITCH","31.8000","-21.5000"
"*","STITCH","34.2000","-19.1000"
"*","STITCH","32.8000","-20.8000"
"*","STITCH","30.0000","-23.6000"
"*","STITCH","27.1000","-26.5000"
"*","STITCH","24.3000","-29.3000"
"*","STITCH","21.5000","-32.1000"
"*","STITCH","18.7000","-34.9000"
"*","STITCH","17.4000","-36.5000"
"*","STITCH","19.7000","-34.2000"
"*","STITCH","22.5000","-31.4000"
"*","STITCH","25.3000","-28.6000"
"*","STITCH","28.1000","-25.8000"
"*","STITCH","31.0000","-22.9000"
"*","STITCH","33.8000","-20.1000"
"*","STITCH","34.3000","-19.6000"
"*","STITCH","32.0000","-22.2000"
"*","STITCH","29.2000","-25.1000"
"*","STITCH","26.3000","-27.9000"
"*","STITCH","23.5000","-30.7000"
"*","STITCH","20.7000","-33.6000"
"*","STITCH","17.8000","-36.4000"
"*","STITCH","17.8000","-36.7000"
"*","STITCH","18.8000","-35.7000"
"*","STITCH","21.7000","-32.9000"
"*","STITCH","24.5000","-30.0000"
"*","STITCH","27.3000","-27.2000"
"*","STITCH","30.2000","-24.4000"
"*","STITCH","33.0000","-21.6000"
"*","STITCH","34.5000","-20.1000"
"*","STITCH","34.0000","-20.9000"
"*","STITCH","31.2000","-23.7000"
"*","STITCH","28.3000","-26.5000"
"*","STITCH","25.5000","-29.3000"
"*","STITCH","22.7000","-32.2000"
"*","STITCH","19.9000","-35.0000"
"*","STITCH","18.2000","-37.0000"
"*","STITCH","20.9000","-34.3000"
"*","STITCH","23.7000","-31.5000"
"*","STITCH","26.5000","-28.7000"
"*","STITCH","29.3000","-25.8000"
"*","STITCH","32.2000","-23.0000"
"*","STITCH","34.6000","-20.6000"
"*","STITCH","33.2000","-22.3000"
"*","STITCH","30.3000","-25.1000"
"*","STITCH","27.5000","-28.0000"
"*","STITCH","24.7000","-30.8000"
"*","STITCH","21.9000","-33.6000"
"*","STITCH","19.0000","-36.4000"
"*","STITCH","18.5000","-37.3000"
"*","STITCH","20.0000","-35.8000"
"*","STITCH","22.9000","-32.9000"
"*","STITCH","25.7000","-30.1000"
"*","STITCH","28.5000","-27.3000"
"*","STITCH","31.4000","-24.4000"
"*","STITCH","34.2000","-21.6000"
"*","STITCH","34.8000","-21.0000"
"*","STITCH","32.4000","-23.8000"
"*","STITCH","29.5000","-26.6000"
"*","STITCH","26.7000","-29.4000"
"*","STITCH","23.9000","-32.2000"
"*","STITCH","21.0000","-35.1000"
"*","STITCH","18.9000","-37.6000"
"*","STITCH","19.2000","-37.2000"
"*","STITCH","22.1000","-34.4000"
"*","STITCH","24.9000","-31.5000"
"*","STITCH","27.7000","-28.7000"
"*","STITCH","30.5000","-25.9000"
"*","STITCH","33.4000","-23.1000"
"*","STITCH","34.9000","-21.5000"
"*","STITCH","34.4000","-22.4000"
"*","STITCH","31.5000","-25.2000"
"*","STITCH","28.7000","-28.0000"
"*","STITCH","25.9000","-30.9000"
"*","STITCH","23.1000","-33.7000"
"*","STITCH","20.2000","-36.5000"
"*","STITCH","19.2000","-37.8000"
"*","STITCH","21.2000","-35.8000"
"*","STITCH","24.1000","-33.0000"
"*","STITCH","26.9000","-30.2000"
"*","STITCH","29.7000","-27.3000"
"*","STITCH","32.6000","-24.5000"
"*","STITCH","35.0000","-22.0000"
"*","STITCH","33.6000","-23.8000"
"*","STITCH","30.7000","-26.6000"
"*","STITCH","27.9000","-29.5000"
"*","STITCH","25.1000","-32.3000"
"*","STITCH","22.2000","-35.1000"
"*","STITCH","19.3000","-38.4000"
"*","STITCH","20.4000","-37.3000"
"*","STITCH","23.2000","-34.4000"
"*","STITCH","26.1000","-31.6000"
"*","STITCH","28.9000","-28.8000"
"*","STITCH","31.7000","-26.0000"
"*","STITCH","34.6000","-23.1000"
"*","STITCH","35.2000","-22.5000"
"*","STITCH","32.7000","-25.3000"
"*","STITCH","29.9000","-28.1000"
"*","STITCH","27.1000","-30.9000"
"*","STITCH","24.3000","-33.7000"
"*","STITCH","21.4000","-36.6000"
"*","STITCH","19.1000","-39.3000"
"*","STITCH","19.6000","-38.7000"
"*","STITCH","22.4000","-35.9000"
"*","STITCH","25.3000","-33.1000"
"*","STITCH","28.1000","-30.2000"
"*","STITCH","30.9000","-27.4000"
"*","STITCH","33.7000","-24.6000"
"*","STITCH","35.3000","-23.0000"
"*","STITCH","34.8000","-23.9000"
"*","STITCH","31.9000","-26.7000"
"*","STITCH","29.1000","-29.5000"
"*","STITCH","26.3000","-32.4000"
"*","STITCH","23.4000","-35.2000"
"*","STITCH","20.6000","-38.0000"
"*","STITCH","18.8000","-40.1000"
"*","STITCH","21.6000","-37.3000"
"*","STITCH","24.4000","-34.5000"
"*","STITCH","27.3000","-31.7000"
"*","STITCH","30.1000","-28.8000"
"*","STITCH","32.9000","-26.0000"
"*","STITCH","35.5000","-23.5000"
"*","STITCH","33.9000","-25.3000"
"*","STITCH","31.1000","-28.2000"
"*","STITCH","28.3000","-31.0000"
"*","STITCH","25.4000","-33.8000"
"*","STITCH","22.6000","-36.6000"
"*","STITCH","19.8000","-39.5000"
"*","STITCH","18.6000","-41.0000"
"*","STITCH","20.8000","-38.8000"
"*","STITCH","23.6000","-35.9000"
"*","STITCH","26.5000","-33.1000"
"*","STITCH","29.3000","-30.3000"
"*","STITCH","32.1000","-27.5000"
"*","STITCH","34.9000","-24.6000"
"*","STITCH","35.6000","-24.0000"
"*","STITCH","33.1000","-26.8000"
"*","STITCH","30.3000","-29.6000"
"*","STITCH","27.5000","-32.4000"
"*","STITCH","24.6000","-35.3000"
"*","STITCH","21.8000","-38.1000"
"*","STITCH","19.0000","-40.9000"
"*","STITCH","18.4000","-41.8000"
"*","STITCH","20.0000","-40.2000"
"*","STITCH","22.8000","-37.4000"
"*","STITCH","25.6000","-34.6000"
"*","STITCH","28.5000","-31.7000"
"*","STITCH","31.3000","-28.9000"
